Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province
25.0,110.0,9,10,6,,,yes,yes,Ngũ Hành Sơn, Đà Nẵng
2.39,61.0,4,5,3,5.0,4.0,yes,yes,Quận 1, Hồ Chí Minh
2.59,49.7,4,5,3,6.0,,yes,yes,Bình Thạnh, Hồ Chí Minh
19.0,61.2,1,1,1,1.5,5.0,yes,yes,Hai Bà Trưng, Hà Nội
8.2,34.0,5,5,4,3.0,5.0,yes,yes,Quận 1, Hồ Chí Minh
13.0,135.0,4,4,2,4.0,9.0,yes,yes,Thủ Đức, Hồ Chí Minh
8.0,54.0,4,5,4,7.0,4.1,yes,yes,Bình Tân, Hồ Chí Minh
6.8,19.0,3,4,4,,6.0,yes,yes,Hai Bà Trưng, Hà Nội
17.8,41.0,4,,7,,4.0,yes,yes,Hai Bà Trưng, Hà Nội
13.0,65.7,10,6,5,6.0,,yes,no,Quận 11, Hồ Chí Minh
6.2,82.0,2,2,,3.5,,yes,yes,Quận 3, Hồ Chí Minh
5.6,56.0,3,3,2,4.0,4.0,yes,yes,Quận 12, Hồ Chí Minh
6.7,45.0,3,4,5,3.0,4.0,yes,yes,Long Biên, Hà Nội
4.39,34.0,4,4,3,6.0,,yes,no,Tân Bình, Hồ Chí Minh
22.5,90.0,3,2,2,8.0,11.0,yes,yes,Hai Bà Trưng, Hà Nội
28.0,90.0,,,7,,6.3,yes,yes,Hai Bà Trưng, Hà Nội
17.22,70.3,5,3,5,,,no,yes,Hà Đông, Hà Nội
19.5,74.0,18,18,,,,yes,yes,Ba Đình, Hà Nội
24.5,75.0,9,9,7,10.0,5.5,yes,yes,Hoàng Mai, Hà Nội
26.0,117.0,6,6,4,8.0,4.6,yes,yes,Quận 2, Hồ Chí Minh
35.0,106.0,26,26,8,8.0,6.0,yes,yes,Cầu Giấy, Hà Nội
9.35,40.0,3,3,6,,,yes,no,Cầu Giấy, Hà Nội
9.5,45.0,9,9,,,,yes,yes,Ba Đình, Hà Nội
8.0,60.0,4,4,4,10.0,4.0,yes,yes,Hoàng Mai, Hà Nội
2.6,160.0,3,2,1,,12.0,yes,yes,Củ Chi, Hồ Chí Minh
9.4,35.0,4,6,8,5.0,,yes,yes,Tây Hồ, Hà Nội
150.0,800.0,26,,5,,20.0,yes,yes,Quận 7, Hồ Chí Minh
30.0,100.0,12,12,9,10.0,7.9,yes,yes,Phú Nhuận, Hồ Chí Minh
39.0,300.0,7,7,4,8.0,12.0,yes,no,Tân Bình, Hồ Chí Minh
8.9,60.0,5,3,4,3.5,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
7.8,55.0,4,4,4,3.0,9.0,yes,yes,Hà Đông, Hà Nội
14.99,61.0,15,15,7,4.0,4.5,yes,yes,Ba Đình, Hà Nội
6.0,33.0,4,5,5,3.11,4.0,yes,yes,Long Biên, Hà Nội
15.8,75.0,4,3,4,5.0,5.35,yes,yes,Long Biên, Hà Nội
