Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province,Population,DistrictArea,CommuneCount,Distribute,GDP_USD
25.0,110.0,9.0,10.0,6.0,,,yes,yes,ngũ hành sơn,đà nẵng,90352.0,40.2,4.0,2.248,5.42
2.39,61.0,4.0,5.0,3.0,5.0,4.0,yes,yes,quận 1,hồ chí minh,142625.0,7.7,10.0,18.523,63.65
2.59,49.7,4.0,5.0,3.0,6.0,,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,23.998,63.65
19.0,61.2,1.0,1.0,1.0,1.5,5.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
8.2,34.0,5.0,5.0,4.0,3.0,5.0,yes,yes,quận 1,hồ chí minh,142625.0,7.7,10.0,18.523,63.65
13.0,135.0,4.0,4.0,2.0,4.0,9.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
8.0,54.0,4.0,5.0,4.0,7.0,4.1,yes,yes,bình tân,hồ chí minh,784173.0,51.9,10.0,15.109,63.65
6.8,19.0,3.0,4.0,4.0,,6.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
17.8,41.0,4.0,,7.0,,4.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
13.0,65.7,10.0,6.0,5.0,6.0,,yes,no,quận 11,hồ chí minh,209867.0,5.1,10.0,41.150,63.65
6.2,82.0,2.0,2.0,,3.5,,yes,yes,quận 3,hồ chí minh,190375.0,4.9,10.0,38.852,63.65
5.6,56.0,3.0,3.0,2.0,4.0,4.0,yes,yes,quận 12,hồ chí minh,620146.0,52.8,11.0,11.745,63.65
6.7,45.0,3.0,4.0,5.0,3.0,4.0,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
4.39,34.0,4.0,4.0,3.0,6.0,,yes,no,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
22.5,90.0,3.0,2.0,2.0,8.0,11.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
28.0,90.0,,,7.0,,6.3,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,29.474,51.39
17.22,70.3,5.0,3.0,5.0,,,no,yes,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
19.5,74.0,18.0,18.0,,,,yes,yes,ba đình,hà nội,221893.0,9.2,13.0,24.119,51.39
24.5,75.0,9.0,9.0,7.0,10.0,5.5,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
26.0,117.0,6.0,6.0,4.0,8.0,4.6,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,4.791,63.65
35.0,106.0,26.0,26.0,8.0,8.0,6.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
9.35,40.0,3.0,3.0,6.0,,,yes,no,cầu giấy,hà nội,292536.0,12.4,8.0,23.516,51.39
9.5,45.0,9.0,9.0,,,,yes,yes,ba đình,hà nội,221893.0,9.2,13.0,24.119,51.39
8.0,60.0,4.0,4.0,4.0,10.0,4.0,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
2.6,160.0,3.0,2.0,1.0,,12.0,yes,yes,củ chi,hồ chí minh,462047.0,434.5,21.0,1.063,63.65
9.4,35.0,4.0,6.0,8.0,5.0,,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,6.578,51.39
150.0,800.0,26.0,,5.0,,20.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,10.088,63.65
30.0,100.0,12.0,12.0,9.0,10.0,7.9,yes,yes,phú nhuận,hồ chí minh,163961.0,4.9,11.0,33.461,63.65
39.0,300.0,7.0,7.0,4.0,8.0,12.0,yes,no,tân bình,hồ chí minh,474792.0,22.4,15.0,21.196,63.65
8.9,60.0,5.0,3.0,4.0,3.5,4.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,34.360,63.65
7.8,55.0,4.0,4.0,4.0,3.0,9.0,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,8.021,51.39
14.99,61.0,15.0,15.0,7.0,4.0,4.5,yes,yes,ba đình,hà nội,221893.0,9.2,13.0,24.119,51.39
6.0,33.0,4.0,5.0,5.0,3.11,4.0,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
15.8,75.0,4.0,3.0,4.0,5.0,5.35,yes,yes,long biên,hà nội,322549.0,59.8,13.0,5.394,51.39
13.75,60.0,10.0,,6.0,3.0,5.0,yes,no,thanh xuân,hà nội,293524.0,9.1,9.0,32.255,51.39
11.0,62.4,7.0,5.0,4.0,2.0,2.0,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,12.564,51.39
5.99,100.0,4.0,3.0,2.0,4.0,,yes,no,quận 12,hồ chí minh,620146.0,52.8,11.0,11.745,63.65
